Bio,Follower Count
"b'Congresswoman, WA-10. Democrat. Army brat. Fighting for an equitable economy. Fmr Mayor of Tacoma | Fmr CEO Seattle Metro Chamber #SouthSoundProud'",5014
"b'Congressman for Wisconsin\xe2\x80\x99s First District. Personal Account. On, Wisconsin!'",2855
"b""Congressman for WI's 2nd District. Progressive Caucus Co-Chair. Small-business owner. Labor union member. Fighter in the resistance. Campaign account.""",23706
"b'Husband, Father, Sportsman, Representative of Wisconsin\xe2\x80\x99s 3rd Congressional District.  Working hard for Wisconsin families! Tweets from Ron signed RK #UniteBlue'",4486
"b'Official Twitter of Gwen Moore for Congress Campaign. For more information, please visit http://t.co/R0oQFe14TQ'",3801
"b'Congressman for Wisconsin\xe2\x80\x99s 5th.  Proven, battle-tested conservative, former Wisconsin Senate Majority Leader, Army Reserve veteran, husband, father.'",2092
"b""Glenn Grothman represents WI's 6th Congressional District in the House of Representatives.""",2052
"b""Congressman for Wisconsin's 7th District. Husband. Dad. Dam tender. Proven conservative. \xf0\x9f\x87\xba\xf0\x9f\x87\xb8""",6764
"b""Campaign account for Congressman Mike Gallagher representing Wisconsin's 8th.""",4254
b'Proud to serve the First District of West Virginia in the U.S. House of Representatives. Member of the Energy and Commerce Committee. Staff-run account',32862
"b'Proud West Virginian, Conservative, Congressman for #WV02 #wvpol'",2085
"b""Wife, mother, grandmother, small business owner, bison farmer, and Congresswoman for West Virginia's 3rd District. Cutting the Bull Out of Politics. #MAGA""",2949
"b'Proud rodeo mom, soccer mom, baseball mom, hockey mom, constitutional conservative. Honored to serve the people of Wyoming in Congress.'",144448
